City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
539,Cartagena,CO,85.62,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
541,Brigantine,US,89.15,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
547,Caledon East,CA,80.08,clear sky,43.8691,-79.8669,6 Ocean pond
554,Popondetta,PG,73.0,scattered clouds,-8.7537,148.2534,Timos Transit House
556,Gilgit,PK,78.66,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
557,Katobu,ID,71.76,broken clouds,-4.9408,122.5276,La Ode Husein
562,Cayenne,GF,85.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
564,La Libertad,EC,71.26,light intensity drizzle,-2.2333,-80.9,Playa Canela Hotel Boutique
568,Manacapuru,BR,86.59,broken clouds,-3.2997,-60.6206,Novo Hotel
570,Palauig,PH,80.74,overcast clouds,15.435,119.9045,Villa Raphael Resort
571,Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
573,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,hotel la terminal
575,Yebaishou,CN,72.03,overcast clouds,41.3975,119.6408,Siji Home
577,Balikpapan,ID,74.39,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
578,Kuala Sungai Baru,MY,77.04,overcast clouds,2.3594,102.0353,Homestay Villa Suraiya Kuala Sungai Baru Melaka
580,Cabo Rojo,PR,84.63,broken clouds,18.0866,-67.1457,Hotel Perichi's
581,Pangkalanbuun,ID,73.18,light rain,-2.6833,111.6167,Grand Kecubung Hotel
582,Kindu,CD,74.44,overcast clouds,-2.95,25.95,Résidence Okanda
585,Lagunas,PE,80.1,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
587,Upata,VE,76.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
589,Sorong,ID,76.71,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
590,Udgir,IN,75.02,overcast clouds,18.3833,77.1167,Sarpmitra Ganesh Kallure
593,Tezu,IN,75.7,overcast clouds,27.9167,96.1667,Circuit House
597,Pattaya,TH,84.11,overcast clouds,12.9333,100.8833,Amari Pattaya
600,Mayo,US,93.61,broken clouds,38.8876,-76.5119,Resorts Resource Group International
601,Nantucket,US,81.01,scattered clouds,41.2835,-70.0995,Jared Coffin House
602,Bubaque,GW,80.06,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
603,Hamza,UZ,75.15,overcast clouds,40.4264,71.4956,Azimobod uymiz
605,Chaihe,CN,70.02,overcast clouds,44.7667,129.7,Holiday Inn Suifenhe
606,Dwarka,IN,81.84,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
607,Ryotsu,JP,78.73,heavy intensity rain,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
609,Axim,GH,73.4,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
610,Kulhudhuffushi,MV,80.82,overcast clouds,6.6221,73.07,Haajy Guest House 1
611,Dingle,PH,75.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
613,Halifax,CA,71.53,fog,44.6453,-63.5724,Hotel Halifax
614,Matay,EG,87.31,clear sky,28.419,30.7792,Nag Aespen
615,Centralia,US,77.45,clear sky,46.7162,-122.9543,Peppermill Inn
616,Mao,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
618,Kupang,ID,71.4,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
619,Kapit,MY,73.67,light rain,2.0167,112.9333,Hotel Meligai Kapit
621,Itaituba,BR,77.16,light rain,-4.2761,-55.9836,Hotel Campos
623,Karabulak,RU,72.59,scattered clouds,43.3036,44.8964,"Baza Otdykha ""Russkaya Banya"""
625,Esmeraldas,BR,78.91,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
626,Reconquista,AR,70.09,broken clouds,-29.15,-59.65,Grand Hotel
627,Goya,AR,70.34,broken clouds,-29.14,-59.2626,Apart Costanera Goya
628,Jaclupan,PH,80.1,scattered clouds,10.3,123.8167,Casia
630,Anapolis,BR,84.67,scattered clouds,-16.3267,-48.9528,Hotel Anápolis
637,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
638,Bicester,GB,72.14,broken clouds,51.9,-1.1536,Premier Inn Bicester hotel
639,Tshikapa,CD,85.17,overcast clouds,-6.4167,20.8,Tatem beach
642,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
644,Piacabucu,BR,74.89,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
647,Itupiranga,BR,93.52,overcast clouds,-5.1347,-49.3267,Hotel Panorama
650,Galesburg,US,82.36,clear sky,40.9478,-90.3712,"Holiday Inn Express & Suites Galesburg, an IHG Hotel"
651,Iracoubo,GF,80.55,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
