City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Shama,CN,33.6102,104.2852,62.2,97,93,3.11,overcast clouds
331,Kinkala,CG,-4.3614,14.7644,78.01,53,86,5.99,overcast clouds
332,Skjervoy,NO,70.0311,20.9714,53.6,90,99,5.84,overcast clouds
333,Huarmey,PE,-10.0681,-78.1522,66.67,73,6,12.57,clear sky
334,Mabaruma,GY,8.2,-59.7833,78.17,90,100,4.83,overcast clouds
335,Winnemucca,US,40.973,-117.7357,88.07,25,31,8.77,scattered clouds
336,Kahului,US,20.8947,-156.47,82.85,76,2,10.0,clear sky
337,Mabiton,PH,12.8334,123.2612,81.64,78,97,6.51,overcast clouds
338,Great Yarmouth,GB,52.6083,1.7305,77.25,69,74,6.69,broken clouds
339,Khani,GE,41.9563,42.9566,65.77,92,42,1.32,scattered clouds
340,Kasongo-Lunda,CD,-6.4667,16.8167,81.01,41,75,4.14,broken clouds
341,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
342,Pangnirtung,CA,66.1451,-65.7125,48.2,81,75,10.36,broken clouds
343,Wanning,CN,18.8003,110.3967,81.0,87,94,6.85,overcast clouds
